seq,firstname,lastname,age,street,city,state,zip,dollar,pick,date
1,Mae,Lamb,65,Puknef Parkway,Zenvugfu,AL,64753,$3953.04,GREEN,07/06/1952
2,Owen,Cole,40,Cajtab Path,Bepaeh,AZ,91230,$2119.68,BLUE,08/11/2023
3,Darrell,Harris,28,Toku Lane,Afimozoc,MN,74669,$9777.17,BLUE,06/20/1997
4,Wesley,Reed,27,Rafci Pass,Joamahim,MI,04079,$5368.66,BLUE,03/23/1951
5,Jesse,Brady,34,Nikle Street,Jiludiki,IL,85684,$1325.20,GREEN,01/07/1926
6,Ray,Sanders,28,Foffe Plaza,Feprulaza,GA,08977,$2905.46,RED,07/26/1940
7,Della,Caldwell,57,Sundim River,Fegujed,NE,80744,$3537.50,BLUE,03/03/2029
8,Troy,Rodriquez,61,Dekfar Manor,Laciad,WI,56697,$755.45,GREEN,02/14/1933
9,Janie,Hardy,20,Toto Loop,Lefozhej,IL,92129,$4563.16,BLUE,04/17/1999
10,Essie,Young,20,Ciwmam Turnpike,Jesposu,WI,35962,$3793.15,WHITE,03/07/1955
11,Jimmy,Maldonado,21,Ugze Center,Kiafeg,WI,88662,$35.74,BLUE,06/28/1934
12,Josie,Tran,50,Kieka Trail,Sompiha,DE,04360,$2629.09,YELLOW,09/07/2069
13,Polly,Carpenter,20,Vifmi Pike,Totmivece,NY,47208,$3388.71,BLUE,03/12/1900
14,Eric,Leonard,65,Cupib Grove,Vudnirsu,CA,82977,$3024.00,RED,02/26/2023
15,Lina,McCormick,52,Amova Circle,Acjaboce,OR,27502,$7430.82,BLUE,03/07/1954
16,Lenora,Holt,54,Icoaf Turnpike,Loksebjar,NM,75767,$350.92,GREEN,09/10/1906
17,Danny,Massey,41,Wimat Key,Rerhigo,PA,23219,$1572.37,GREEN,11/29/2048
18,Clara,Adams,52,Zige Park,Cacudda,ME,19090,$6558.18,BLUE,05/06/2005
19,Jeremy,Potter,40,Hedo Way,Kumsaga,CA,88507,$8026.45,RED,08/20/1991
20,Francis,Holloway,32,Sizev Way,Detdapjod,MA,68435,$6255.34,GREEN,02/05/1910
21,Laura,McCoy,47,Bipnu Boulevard,Ramesaj,UT,64279,$6763.21,YELLOW,08/04/2022
22,Alma,Freeman,39,Zikdi Lane,Mizvikdag,CA,63118,$9735.74,RED,08/30/1926
23,Alta,Warner,50,Tokic Junction,Awagutkiz,TX,53104,$5261.59,WHITE,04/08/1966
24,Jeff,Fields,51,Cosi Plaza,Etaodjir,TN,53449,$9800.39,BLUE,12/20/2070
25,Leonard,Grant,48,Nouj River,Befceto,TN,74735,$9384.13,WHITE,05/23/1949
26,Nellie,Ortiz,59,Debcu River,Fatodmu,NJ,56787,$1553.73,WHITE,12/24/2013
27,Theodore,Brown,44,Seoc Parkway,Ripwubnu,NY,71927,$5349.57,YELLOW,12/18/1906
28,Delia,Grant,27,Hermu Avenue,Umugoes,NC,77764,$2012.23,BLUE,01/12/1957
29,Bryan,Martinez,27,Gutpu Highway,Maprokim,HI,14443,$8723.89,GREEN,05/05/1960
30,William,Campbell,27,Ornav Loop,Eceunako,NJ,61754,$5474.41,RED,09/13/1959
31,Lena,Hill,28,Majol Street,Lovdebuf,MA,32044,$2032.17,GREEN,01/27/2011
32,Polly,Morgan,33,Izmaj Avenue,Caarobow,CO,33402,$261.37,RED,07/02/2070
33,Jeff,Estrada,35,Lewhuw River,Jegijte,IN,27422,$4942.40,RED,01/16/2033
34,Leroy,Barton,48,Ezmaz Grove,Wogegep,OK,56180,$7050.89,YELLOW,03/15/1937
35,Estelle,Pittman,36,Luba Parkway,Owoihoma,NC,65541,$969.99,GREEN,10/06/1914
36,Lora,Singleton,38,Sizoz Key,Raroow,SC,38031,$1685.71,BLUE,05/29/1949
37,Troy,Richardson,28,Pezin Ridge,Cuvferub,ID,44576,$5984.24,BLUE,04/27/2025
38,Susie,Sutton,22,Hakhun Parkway,Rizocit,UT,80814,$6776.74,WHITE,02/12/1946
39,Rebecca,Cross,61,Fuab Pike,Pepeab,FL,54220,$7470.50,YELLOW,06/05/1947
40,Garrett,Bryan,62,Unvu Place,Ijdocu,OH,88963,$1794.98,YELLOW,07/11/1984
41,Albert,Garcia,28,Wodmeb Plaza,Hohreiru,KY,70754,$188.15,GREEN,01/24/2065
42,Allen,Gray,29,Cifweh Place,Pumgiovu,NH,03707,$1249.77,RED,07/10/2061
43,Polly,Howard,24,Zoddug Heights,Ilemimaku,WA,00924,$463.53,WHITE,08/18/1905
44,Isabel,Diaz,53,Vajgo Way,Adiuwtu,TX,52773,$2607.10,BLUE,09/20/1980
45,Harry,Johnston,44,Uffut Park,Rokotro,MD,20089,$4424.42,GREEN,01/06/1975
46,Hannah,Jensen,65,Ukiri Path,Bobudot,AR,18620,$2783.92,WHITE,08/04/2061
47,Chester,Hunter,38,Rouk Drive,Jagzibih,NH,38984,$9463.39,BLUE,01/10/2049
48,Ann,McKenzie,33,Honi Key,Vurpapicu,DC,97804,$4280.10,WHITE,12/25/2052
49,Carl,Barnett,65,Ogeroj Avenue,Fuuciwa,CT,08411,$9109.42,RED,02/08/1907
50,Melvin,McBride,59,Suhbu Glen,Enezhip,FL,29344,$389.70,GREEN,09/24/2055
51,Annie,Osborne,32,Nojip Turnpike,Ogovepis,UT,20160,$9569.33,WHITE,06/24/1983
52,Susie,Howell,19,Iniuz Plaza,Wecelso,UT,00917,$5577.04,WHITE,01/29/1920
53,Angel,Harper,55,Zilron View,Zalejfe,CA,05891,$4690.12,WHITE,02/21/2014
54,Rachel,Carroll,29,Dukco Ridge,Rekuhhur,HI,36695,$8117.31,GREEN,07/24/2050
55,Lloyd,Holloway,22,Piur Junction,Ilikopa,WI,36846,$7248.86,RED,12/05/1962
56,Pauline,May,64,Vaow Mill,Isujawab,NM,68133,$9778.40,GREEN,09/13/2011
57,Lillie,Gonzales,39,Ivdof Park,Mivwubo,MD,77017,$4871.78,YELLOW,07/10/1966
58,Tom,Barton,61,Koihu Circle,Cobpumhaf,SD,82277,$3051.64,WHITE,01/16/2049
59,Glenn,Little,23,Hejhub Extension,Necpuctor,DC,35120,$7495.96,GREEN,06/11/2006
60,Brian,Watkins,64,Hermol Manor,Pajuca,KY,09005,$3136.34,RED,09/09/1956
61,Sophia,Johnston,54,Waweg Plaza,Wibjehze,AK,01211,$8039.24,RED,02/22/1973
62,Arthur,Santos,64,Dinmij Highway,Acemuaki,MS,78884,$1000.13,BLUE,06/14/2006
63,Kathryn,Rodriguez,30,Lolrib Trail,Ikenako,VT,30431,$8182.32,BLUE,01/17/1938
64,Peter,Ortiz,46,Jiko Boulevard,Celanam,NC,03178,$3730.16,GREEN,12/30/2061
65,Ralph,Nguyen,52,Zajho River,Zowavtip,WA,20307,$4589.53,RED,07/06/1908
66,Ralph,Bowers,52,Wuog Circle,Odcowok,RI,50209,$2818.84,WHITE,01/31/2005
67,Nelle,Haynes,41,Apco Manor,Paassi,MD,24550,$4481.87,YELLOW,05/04/2044
68,Sarah,Abbott,54,Wiuse Grove,Catahobo,MA,79175,$4521.15,BLUE,03/03/1991
69,Alta,Newman,26,Kuwbo Pass,Newginah,IA,15637,$813.88,WHITE,07/19/1983
70,Frances,Waters,31,Wabvu Parkway,Lokmarza,CA,97827,$8520.69,YELLOW,09/11/1991
71,Hattie,Morrison,51,Tuhut Key,Paimep,MN,32562,$4749.75,YELLOW,11/30/2044
72,Adrian,Swanson,32,Jowgi River,Ofuravoj,ND,75655,$3942.99,GREEN,06/05/2011
73,Alta,Dawson,60,Riil Avenue,Zoecata,ID,14952,$8303.37,WHITE,08/20/1968
74,Douglas,Mendez,22,Jahok Plaza,Didampef,ID,37376,$3742.84,YELLOW,07/17/2001
75,Stephen,Reeves,49,Netzi Plaza,Tafmufcab,HI,94490,$2094.05,WHITE,09/23/1959
76,Jeffrey,Hardy,39,Poju Trail,Uvioloma,MI,44533,$1903.38,BLUE,04/08/1994
77,Andrew,Warner,41,Izsaj Junction,Westosis,NE,46621,$3340.11,YELLOW,12/14/2062
78,Landon,Gordon,64,Hutwu Circle,Ebforup,MO,34179,$220.80,BLUE,11/03/2010
79,Norman,Nguyen,60,Kapir Turnpike,Ukiwowuv,MD,16429,$5631.89,BLUE,12/22/1903
80,Bill,Robbins,41,Visat Terrace,Zozokeg,OH,93635,$67.58,YELLOW,07/02/1968
81,Jeremy,Montgomery,37,Zumjo Junction,Tibuvto,SD,24236,$9120.19,RED,02/02/2058
82,Alex,Welch,57,Levi Court,Fuccapmu,UT,35387,$9043.21,BLUE,04/13/2069
83,Gussie,Harper,58,Apavej River,Ijoeheva,PA,85515,$6029.15,RED,09/24/2005
84,Grace,Murphy,27,Hamew Turnpike,Zolicihu,MI,82419,$4791.92,WHITE,05/21/2013
85,Nicholas,Soto,45,Kiluz Court,Warulaar,ID,99895,$2670.56,WHITE,09/30/1958
86,Seth,Phillips,65,Senam Lane,Giwotiowa,WI,93546,$8062.37,BLUE,06/10/2020
87,Virginia,Murray,56,Orowi Pass,Gulumol,NH,01691,$3413.31,GREEN,11/23/2047
88,Andre,Gardner,61,Gocjaj Avenue,Gimduhzef,DC,73163,$5281.55,BLUE,05/08/1994
89,Adeline,Matthews,44,Oduez Turnpike,Codaaco,MO,70357,$2529.94,BLUE,10/17/2024
90,Mitchell,Vargas,33,Anumi Extension,Buwobiko,SC,37868,$366.69,GREEN,01/27/1945
91,Maria,Singleton,57,Bepov Circle,Ibajnul,MA,39318,$436.62,RED,08/03/2040
92,Brent,Nash,65,Ziibi Court,Zevtutup,MO,31686,$6459.98,RED,10/18/1968
93,Phoebe,Simmons,55,Lebaba Place,Vahabije,PA,23495,$9586.92,BLUE,09/06/1935
94,Lou,Potter,61,Bosawu Place,Lamerri,ND,80657,$3025.06,RED,06/11/2051
95,Alma,McDaniel,24,Nofijo Pike,Cafaobo,DC,41342,$4102.54,GREEN,12/03/1968
96,Antonio,McDonald,43,Mepid Pass,Uvetike,HI,44021,$482.47,RED,02/16/1944
97,Scott,May,21,Neta Manor,Mupiji,AK,69260,$8075.44,WHITE,09/15/1952
98,Harry,Norris,36,Hogav Drive,Kuphavo,ID,39514,$2833.89,BLUE,08/22/1907
99,Etta,Barber,51,Ehabij Turnpike,Talubos,TN,97777,$3876.34,BLUE,08/14/2031
100,Donald,Gonzales,34,Worsu Drive,Zimihoci,IA,65080,$1874.96,YELLOW,02/21/2045
101,Miguel,Lawson,63,Buow Loop,Aweasaj,WY,35963,$3200.29,BLUE,07/07/2054
102,Winifred,Sandoval,46,Lazkew Extension,Damasor,NE,67818,$6193.88,WHITE,03/27/1980
103,Oscar,Love,54,Fiora Key,Solfifil,ID,81590,$9203.52,YELLOW,04/13/1900
104,Vernon,Hernandez,54,Bikew Junction,Razmebum,UT,54505,$4173.72,RED,10/25/1959
105,Gerald,Gonzales,31,Uboji Heights,Gucefbad,MO,19322,$9632.58,BLUE,10/15/1936
106,Francis,Medina,56,Nuzo Path,Rapebli,DE,90404,$9253.23,WHITE,10/03/1974
107,Daisy,Hammond,41,Koppe Grove,Powuwwo,UT,73513,$3571.46,WHITE,03/07/2006
108,Mamie,Mendez,33,Atuuzo Junction,Cimutho,KY,95533,$1394.49,WHITE,10/08/1972
109,Elizabeth,Stevens,51,Suzew Place,Owguhmi,NY,63157,$3054.66,YELLOW,08/23/1910
110,Mattie,Caldwell,23,Sucvu Boulevard,Nizbigew,NY,90015,$3649.93,BLUE,11/28/1963
111,Logan,Parsons,19,Masva Terrace,Naokhi,DC,85736,$7435.39,RED,10/26/2032
112,Todd,Bridges,48,Livef Road,Alrezat,NY,43667,$9567.37,RED,12/14/1972
113,Jeanette,Patrick,42,Apge Park,Kegogih,ND,66578,$4960.85,BLUE,05/15/1905
114,Mabelle,Blake,47,Kagjo Plaza,Ulcefe,KS,44805,$6052.99,BLUE,07/19/2028
115,Josie,Jensen,62,Zepkac Pass,Ifzazca,DE,01935,$3127.19,GREEN,02/04/1975
116,Ina,Allen,19,Cuwa Glen,Cuenad,ME,11251,$9238.80,WHITE,04/17/1921
117,Fannie,Brooks,46,Tezoso Avenue,Udoteun,AL,68413,$6286.04,WHITE,08/12/1961
118,Cecelia,Patrick,59,Adgej Loop,Esumaze,HI,14760,$5398.38,BLUE,12/08/1949
119,Amelia,Cain,33,Subaf Drive,Vostoin,CT,03682,$9258.52,BLUE,05/08/1944
120,Ruth,Holland,51,Oficu Trail,Jabjucak,HI,98483,$6573.01,RED,04/17/1915
121,Anne,Weber,34,Dehga Avenue,Veorobar,PA,73691,$2405.16,RED,10/04/1946
122,Nelle,Porter,47,Olisi Path,Suvnipoj,IA,60141,$8904.31,BLUE,01/21/1918
123,Phoebe,Williamson,48,Ezbu Parkway,Mijubga,OH,99741,$7535.62,RED,04/10/2048
124,Jordan,Floyd,63,Pavar Boulevard,Sijeif,OH,70284,$3205.57,RED,05/18/2049
125,Juan,Pope,38,Okob Trail,Vahavfu,WI,78743,$1060.14,YELLOW,01/05/1975
126,Leona,Steele,23,Ibeawo River,Zosiwaci,TX,10116,$66.90,RED,11/28/1962
127,Irene,Roberts,52,Lecgur Center,Mosemas,ND,15702,$1922.99,BLUE,04/17/2043
128,Derrick,Gibbs,22,Mitfug Pass,Wecomhof,LA,95367,$4467.99,WHITE,01/15/2000
129,Francis,Peters,55,Vonvuj Street,Beaduepu,ME,49098,$4535.30,WHITE,09/13/2006
130,Tom,Cole,63,Batbo Highway,Ehvitif,VT,54897,$9192.12,WHITE,06/24/2041
131,Elnora,Lyons,40,Wuwren Grove,Wovusuli,NV,93350,$5758.04,BLUE,09/30/2010
132,Howard,Gordon,47,Fusir Boulevard,Mirkabnif,MT,88139,$8927.74,GREEN,01/20/2068
133,Jack,Henderson,22,Ciuho River,Tieduset,NH,95331,$8900.97,BLUE,07/26/2062
134,Lucinda,Stewart,48,Vonzuz Terrace,Wigutwij,FL,23903,$6479.24,YELLOW,01/21/2051
135,Dylan,Carpenter,47,Uteza Avenue,Ibotalkal,DC,28151,$6965.41,RED,02/12/1968
136,Jesse,Nelson,29,Gawudo Place,Suibvev,DC,07017,$904.41,RED,08/10/1929
137,Sally,Mason,23,Samhek Key,Duwahoka,IA,81667,$1151.00,WHITE,09/29/1964
138,Hulda,Robertson,25,Ziwfad Manor,Bavbappav,RI,80879,$8880.69,RED,01/24/1948
139,Warren,Poole,62,Fecek Loop,Afonoab,GA,03800,$6675.27,WHITE,10/20/1993
140,Agnes,Perry,46,Mumzep Highway,Waavfe,DC,29269,$6625.86,BLUE,05/22/1908
141,Timothy,Harrison,44,Zakif Extension,Hiimcej,MN,72791,$6484.57,RED,08/25/2004
142,Hallie,Higgins,43,Hevmi Turnpike,Sikgeoz,AK,41495,$1050.90,GREEN,08/06/1945
143,Marian,Allison,62,Duti Point,Riruebe,MO,23764,$1438.92,WHITE,06/10/2023
144,Marian,Patterson,60,Visbe Terrace,Amnipul,MD,56169,$9400.00,GREEN,02/07/1979
145,Carlos,Tyler,22,Maher Circle,Holepnir,MN,91845,$8397.03,BLUE,04/16/2006
146,Joseph,Lloyd,19,Wulzu Street,Mubgagwuj,HI,33017,$1078.47,WHITE,07/08/2021
147,Kyle,Meyer,54,Iloraz Drive,Rezuhera,IA,76668,$7191.06,BLUE,05/23/2053
148,Harriett,Cook,35,Ecoja Park,Zobwipbih,ND,52530,$5499.62,RED,09/11/2066
